,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
397,Jeremías Conan Ledesma,"186cm / 6'1""",83kg / 183lb,GK,Right,82,79,75,83,46,81,32,Argentina,Libertadores,River Plate
398,Bernd Leno,"189cm / 6'2""",83kg / 183lb,GK,Right,83,79,76,84,53,82,33,Germany,Premier League,Fulham
399,Stanislav Lobotka,"170cm / 5'7""",68kg / 150lb,CM,Right,72,69,80,81,75,75,30,Slovakia,Serie A Enilive,SSC Napoli
400,Sydney Lohmann,"174cm / 5'9""",64kg / 141lb,RM,Right,74,79,79,82,70,82,24,Germany,GPFBL,FC Bayern München
401,Ademola Lookman,"174cm / 5'9""",71kg / 157lb,ST,Right,84,81,71,86,31,66,27,Nigeria,Serie A Enilive,Bergamo Calcio
402,Romelu Lukaku,"191cm / 6'3""",94kg / 207lb,ST,Left,79,82,73,74,38,82,31,Belgium,Serie A Enilive,SSC Napoli
403,Frida Maanum,"173cm / 5'8""",58kg / 128lb,CM,Right,66,81,81,80,72,65,25,Norway,Barclays WSL,Arsenal
404,Hailie Mace,"168cm / 5'6""",62kg / 137lb,RB,Right,76,60,75,74,82,74,27,United States,NWSL,KC Current
405,Melvine Malard,"171cm / 5'7""",62kg / 137lb,LW,Right,81,80,78,84,41,66,24,France,Barclays WSL,Manchester Utd
406,Gianluca Mancini,"190cm / 6'3""",77kg / 170lb,CB,Right,71,45,56,64,83,85,28,Italy,Serie A Enilive,AS Roma
407,John McGinn,"178cm / 5'10""",68kg / 150lb,CM,Left,68,77,80,82,78,85,30,Scotland,Premier League,Aston Villa
408,Janina Minge,"170cm / 5'7""",61kg / 134lb,CDM,Right,70,80,79,81,77,80,25,Germany,GPFBL,VfL Wolfsburg
409,Aleksandar Mitrović,"189cm / 6'2""",90kg / 198lb,ST,Right,64,82,62,73,28,88,30,Serbia,ROSHN Saudi League,Al Hilal
410,Nahuel Molina,"175cm / 5'9""",70kg / 154lb,RB,Right,85,67,75,78,78,71,26,Argentina,LALIGA EA SPORTS,Atlético de Madrid
411,Savinho,"176cm / 5'9""",71kg / 157lb,LW,Left,88,72,77,84,30,53,20,Brazil,Premier League,Manchester City
412,Thomas Müller,"185cm / 6'1""",76kg / 168lb,CAM,Right,57,82,83,79,55,68,35,Germany,Bundesliga,FC Bayern München
413,Casey Murphy,"185cm / 6'1""",70kg / 154lb,GK,Right,84,80,74,82,40,86,28,United States,NWSL,NC Courage
414,Darwin Núñez,"187cm / 6'2""",81kg / 179lb,ST,Right,90,80,72,78,46,86,25,Uruguay,Premier League,Liverpool
415,Michael Olise,"184cm / 6'0""",73kg / 161lb,RM,Left,80,77,82,84,53,56,23,France,Bundesliga,FC Bayern München
416,Leila Ouahabi,"172cm / 5'8""",61kg / 134lb,LB,Left,73,52,71,72,81,74,31,Spain,Barclays WSL,Manchester City
417,Oyarzabal,"181cm / 5'11""",79kg / 174lb,ST,Left,77,83,81,82,42,63,27,Spain,LALIGA EA SPORTS,Real Sociedad
418,Nikita Parris,"162cm / 5'4""",54kg / 119lb,RM,Right,88,75,78,82,44,65,31,England,Barclays WSL,Manchester Utd
419,Thomas Partey,"185cm / 6'1""",77kg / 170lb,CDM,Right,62,71,80,77,79,82,31,Ghana,Premier League,Arsenal
420,Tanja Pawollek,"170cm / 5'7""",63kg / 139lb,CM,Left,51,76,77,78,78,81,26,Poland,GPFBL,Frankfurt
421,Ève Périsset,"160cm / 5'3""",55kg / 121lb,RB,Right,76,52,79,76,79,72,30,France,Barclays WSL,Chelsea
422,Pauline Peyraud-Magnin,"175cm / 5'9""",63kg / 139lb,GK,Left,80,80,82,83,47,82,32,France,Calcio A Femminile,Juventus
423,Felicitas Rauch,"167cm / 5'6""",61kg / 134lb,LB,Left,80,57,72,76,80,76,28,Germany,NWSL,NC Courage
424,Tijjani Reijnders,"185cm / 6'1""",73kg / 161lb,CM,Right,80,76,80,84,73,74,26,Holland,Serie A Enilive,Milano FC
425,Misa,"173cm / 5'8""",66kg / 146lb,GK,Left,84,77,77,80,61,84,25,Spain,Liga F,Real Madrid CF
426,Fabián Ruiz,"189cm / 6'2""",70kg / 154lb,CM,Left,54,76,80,80,75,72,28,Spain,Ligue 1 McDonald's,Paris SG
427,Cecilia Salvai,"175cm / 5'9""",61kg / 134lb,CB,Left,73,49,70,67,82,83,31,Italy,Calcio A Femminile,Juventus
428,Brice Samba,"187cm / 6'2""",90kg / 198lb,GK,Left,79,83,80,84,53,81,30,France,Ligue 1 McDonald's,RC Lens
429,Sancet,"188cm / 6'2""",77kg / 170lb,CAM,Right,73,77,80,84,70,82,24,Spain,LALIGA EA SPORTS,Athletic Club
430,Jadon Sancho,"180cm / 5'11""",76kg / 168lb,LM,Right,79,69,78,89,32,50,24,England,Premier League,Chelsea
431,Fabian Schär,"188cm / 6'2""",84kg / 185lb,CB,Right,51,68,77,74,84,79,33,Switzerland,Premier League,Newcastle Utd
432,Patrik Schick,"191cm / 6'3""",87kg / 192lb,ST,Left,74,81,71,81,37,76,29,Czech Republic,Bundesliga,Leverkusen
433,Sophie Schmidt,"172cm / 5'8""",66kg / 146lb,CM,Right,49,75,77,78,80,73,36,Canada,NWSL,Houston Dash
434,Olivia Schough,"172cm / 5'8""",60kg / 132lb,LM,Right,79,80,78,81,41,73,33,Sweden,Sverige Liga,FC Rosengård
435,Desiree Scott,"155cm / 5'1""",62kg / 137lb,CDM,Right,61,54,70,75,82,79,37,Canada,NWSL,KC Current
436,Tabea Sellner,"170cm / 5'7""",62kg / 137lb,RM,Right,80,80,80,81,28,69,28,Germany,GPFBL,VfL Wolfsburg
437,Luke Shaw,"181cm / 5'11""",75kg / 165lb,LB,Left,75,57,82,78,81,78,29,England,Premier League,Man Utd
438,Malcom,"172cm / 5'8""",74kg / 163lb,CAM,Left,84,79,79,84,43,72,28,Brazil,ROSHN Saudi League,Al Hilal
439,Chris Smalling,"194cm / 6'4""",81kg / 179lb,CB,Right,54,47,58,61,85,79,35,England,ROSHN Saudi League,Al Fayha
440,Emily Sonnett,"170cm / 5'7""",62kg / 137lb,CB,Right,80,57,76,73,83,84,31,United States,NWSL,NJ/NY Gotham
441,Alexander Sørloth,"195cm / 6'5""",94kg / 207lb,ST,Left,79,82,70,76,36,85,29,Norway,LALIGA EA SPORTS,Atlético de Madrid
442,Ángela Sosa,"166cm / 5'5""",56kg / 123lb,CAM,Right,77,83,84,84,64,74,32,Spain,Liga F,Levante UD
443,Anderson Talisca,"191cm / 6'3""",75kg / 165lb,RM,Left,79,84,78,83,53,75,31,Brazil,ROSHN Saudi League,Al Nassr
444,Luis Suárez,"182cm / 6'0""",86kg / 190lb,ST,Right,64,85,78,77,41,75,38,Uruguay,MLS,Inter Miami CF
445,Niklas Süle,"195cm / 6'5""",99kg / 218lb,CB,Right,70,51,67,64,83,79,29,Germany,Bundesliga,Borussia Dortmund
446,Kevin Trapp,"189cm / 6'2""",84kg / 185lb,GK,Right,82,80,76,84,46,79,34,Germany,Bundesliga,Frankfurt
447,Destiny Udogie,"186cm / 6'1""",73kg / 161lb,LB,Left,88,65,74,80,78,80,22,Italy,Premier League,Spurs
448,Dayot Upamecano,"186cm / 6'1""",90kg / 198lb,CB,Right,81,45,63,73,81,85,26,France,Bundesliga,FC Bayern München
449,Daniëlle van de Donk,"160cm / 5'3""",54kg / 119lb,CM,Right,72,76,80,86,66,73,33,Holland,Arkema PL,OL
450,Micky van de Ven,"193cm / 6'4""",86kg / 190lb,CB,Left,88,47,64,71,83,81,23,Holland,Premier League,Spurs
451,Emily van Egmond,"178cm / 5'10""",65kg / 143lb,CDM,Right,59,61,78,73,82,84,31,Australia,NWSL,San Diego Wave
452,Manuela Vanegas,"167cm / 5'6""",68kg / 150lb,CB,Left,80,63,73,71,82,83,24,Colombia,Liga F,Real Sociedad
453,Raphaël Varane,"191cm / 6'3""",81kg / 179lb,CB,Right,73,49,64,69,83,77,31,France,Serie A Enilive,Como
454,Iñaki Williams,"186cm / 6'1""",80kg / 176lb,RM,Right,94,81,72,80,45,84,30,Ghana,LALIGA EA SPORTS,Athletic Club
455,Luciano Acosta,"161cm / 5'3""",59kg / 130lb,CAM,Right,79,73,76,85,46,56,30,Argentina,MLS,FC Cincinnati
456,Edson Álvarez,"187cm / 6'2""",73kg / 161lb,CDM,Right,66,58,69,72,83,87,27,Mexico,Premier League,West Ham
457,Yeray,"182cm / 6'0""",79kg / 174lb,CB,Right,64,49,70,65,83,76,30,Spain,LALIGA EA SPORTS,Athletic Club
458,Waldemar Anton,"189cm / 6'2""",86kg / 190lb,CB,Right,69,46,65,67,81,83,28,Germany,Bundesliga,Borussia Dortmund
459,Nicole Anyomi,"170cm / 5'7""",63kg / 139lb,ST,Right,89,76,73,84,57,81,25,Germany,GPFBL,Frankfurt
460,Alphonse Areola,"195cm / 6'5""",94kg / 207lb,GK,Right,82,77,74,83,55,80,32,France,Premier League,West Ham
461,Marco Asensio,"182cm / 6'0""",76kg / 168lb,RW,Left,76,79,81,83,43,63,29,Spain,Ligue 1 McDonald's,Paris SG
462,Viviane Asseyi,"163cm / 5'4""",59kg / 130lb,ST,Right,87,79,77,81,50,71,31,France,Barclays WSL,West Ham
463,Balde,"175cm / 5'9""",69kg / 152lb,LB,Left,91,48,73,78,75,64,21,Spain,LALIGA EA SPORTS,FC Barcelona
464,Leire Baños,"167cm / 5'6""",64kg / 141lb,CDM,Right,76,76,79,79,78,82,28,Spain,Liga F,Athletic Club
465,Lauren Barnes,"165cm / 5'5""",57kg / 126lb,CB,Left,76,53,75,77,82,81,35,United States,NWSL,Seattle Reign
466,Rodrigo Bentancur,"187cm / 6'2""",73kg / 161lb,CM,Right,67,68,80,82,79,76,27,Uruguay,Premier League,Spurs
467,Álex Berenguer,"175cm / 5'9""",73kg / 161lb,LM,Right,85,75,75,83,64,68,29,Spain,LALIGA EA SPORTS,Athletic Club
468,Jule Brand,"177cm / 5'10""",62kg / 137lb,LW,Right,91,73,74,81,56,72,22,Germany,GPFBL,VfL Wolfsburg
469,Sergio Busquets,"189cm / 6'2""",76kg / 168lb,CDM,Right,37,61,77,78,78,73,36,Spain,MLS,Inter Miami CF
470,Niamh Charles,"172cm / 5'8""",64kg / 141lb,LB,Right,81,65,80,76,78,70,25,England,Barclays WSL,Chelsea
471,Danielle Colaprico,"158cm / 5'2""",58kg / 128lb,CDM,Right,79,76,79,81,76,71,31,United States,NWSL,San Diego Wave
472,Bryan Cristante,"186cm / 6'1""",80kg / 176lb,CM,Right,55,74,78,75,78,84,30,Italy,Serie A Enilive,AS Roma
473,Ricardo Horta,"173cm / 5'8""",63kg / 139lb,CAM,Right,80,80,80,81,43,70,30,Portugal,Liga Portugal,SC Braga
474,Geyse,"169cm / 5'7""",60kg / 132lb,ST,Right,92,79,74,85,34,87,26,Brazil,Barclays WSL,Manchester Utd
475,Rui Silva,"191cm / 6'3""",91kg / 201lb,GK,Right,82,76,77,84,31,81,31,Portugal,LALIGA EA SPORTS,Real Betis
476,Matteo Darmian,"183cm / 6'0""",70kg / 154lb,RB,Right,72,62,75,76,80,75,35,Italy,Serie A Enilive,Lombardia FC
477,Jonathan David,"175cm / 5'9""",70kg / 154lb,ST,Right,82,81,71,78,34,75,25,Canada,Ligue 1 McDonald's,LOSC Lille
478,Elisa De Almeida,"173cm / 5'8""",61kg / 134lb,CB,Right,72,34,65,61,83,73,27,France,Arkema PL,Paris SG
479,Richarlison,"184cm / 6'0""",71kg / 157lb,ST,Right,77,80,73,80,53,78,27,Brazil,Premier League,Spurs
480,Luuk de Jong,"189cm / 6'2""",86kg / 190lb,ST,Right,44,80,73,73,57,80,34,Holland,Eredivisie,PSV
481,Fred,"169cm / 5'7""",62kg / 137lb,CDM,Left,75,71,79,82,75,78,32,Brazil,Trendyol Süper Lig,Fenerbahçe
482,Océane Deslandes,"169cm / 5'7""",61kg / 134lb,CB,Left,68,55,78,72,82,79,24,France,Arkema PL,Montpellier
483,Paulina Dudek,"169cm / 5'7""",62kg / 137lb,CB,Left,62,46,62,68,85,72,27,Poland,Arkema PL,Paris SG
484,Julie Dufour,"163cm / 5'4""",56kg / 123lb,LM,Right,86,76,78,82,51,61,23,France,Arkema PL,Paris FC
485,Nerea Eizagirre,"165cm / 5'5""",65kg / 143lb,LW,Right,79,83,79,85,63,71,25,Spain,Liga F,Real Sociedad
486,Abby Erceg,"177cm / 5'10""",68kg / 150lb,CB,Right,47,39,59,64,84,80,35,New Zealand,NWSL,Rac. Louisville
487,Eberechi Eze,"178cm / 5'10""",67kg / 148lb,CAM,Right,78,81,78,84,49,69,26,England,Premier League,Crystal Palace
488,Youssouf Fofana,"185cm / 6'1""",74kg / 163lb,CDM,Right,69,68,74,77,78,80,26,France,Serie A Enilive,Milano FC
489,Emily Fox,"165cm / 5'5""",57kg / 126lb,LB,Right,69,47,69,78,79,73,26,United States,Barclays WSL,Arsenal
490,Davide Frattesi,"178cm / 5'10""",74kg / 163lb,CM,Right,80,74,78,81,71,71,25,Italy,Serie A Enilive,Lombardia FC
491,Remo Freuler,"181cm / 5'11""",80kg / 176lb,CDM,Right,60,72,76,77,77,74,32,Switzerland,Serie A Enilive,Bologna
492,Conor Gallagher,"182cm / 6'0""",74kg / 163lb,CM,Right,73,75,78,78,77,81,25,England,LALIGA EA SPORTS,Atlético de Madrid
493,Naomi Girma,"164cm / 5'5""",58kg / 128lb,CB,Right,65,51,66,72,82,74,24,United States,NWSL,San Diego Wave
494,Alexandr Golovin,"178cm / 5'10""",69kg / 152lb,LM,Right,77,77,80,83,61,68,28,Russia,Ligue 1 McDonald's,AS Monaco
495,Esther,"163cm / 5'4""",55kg / 121lb,ST,Right,77,82,69,79,31,72,32,Spain,NWSL,NJ/NY Gotham
496,Pascal Groß,"181cm / 5'11""",78kg / 172lb,CDM,Right,50,77,85,80,73,74,33,Germany,Bundesliga,Borussia Dortmund
497,Marc Guéhi,"182cm / 6'0""",82kg / 181lb,CB,Right,72,39,65,72,82,77,24,England,Premier League,Crystal Palace
498,Dávid Hancko,"188cm / 6'2""",82kg / 181lb,CB,Left,78,66,72,74,81,80,27,Slovakia,Eredivisie,Feyenoord
499,Benjamin Henrichs,"183cm / 6'0""",79kg / 174lb,RB,Right,74,54,76,78,79,74,28,Germany,Bundesliga,RB Leipzig
500,Rachel Hill,"163cm / 5'4""",56kg / 123lb,RM,Right,81,77,79,78,48,62,29,United States,NWSL,Bay FC
501,Piero Hincapié,"184cm / 6'0""",77kg / 170lb,CB,Left,78,40,64,72,81,80,23,Ecuador,Bundesliga,Leverkusen
502,Sofia Jakobsson,"174cm / 5'9""",62kg / 137lb,LM,Right,81,77,78,79,54,72,34,Sweden,NWSL,San Diego Wave
503,Synne Jensen,"173cm / 5'8""",64kg / 141lb,RW,Right,85,82,78,81,28,79,29,Norway,Liga F,Atlético de Madrid
504,Ferdi Kadıoğlu,"174cm / 5'9""",73kg / 161lb,LB,Right,88,65,75,85,75,76,25,Turkey,Premier League,Brighton
505,Daichi Kamada,"184cm / 6'0""",72kg / 159lb,CAM,Right,79,73,80,83,54,63,28,Japan,Premier League,Crystal Palace
506,Ewelina Kamczyk,"165cm / 5'5""",54kg / 119lb,CAM,Right,78,76,79,83,42,65,29,Poland,Arkema PL,FC Fleury 91
507,Hasret Kayikci,"163cm / 5'4""",54kg / 119lb,CM,Right,84,76,76,85,61,74,33,Germany,GPFBL,SC Freiburg
508,Presnel Kimpembe,"189cm / 6'2""",80kg / 176lb,CB,Left,74,43,67,69,81,82,29,France,Ligue 1 McDonald's,Paris SG
509,Orkun Kökçü,"175cm / 5'9""",69kg / 152lb,CM,Right,72,76,83,80,68,79,24,Turkey,Liga Portugal,SL Benfica
510,Ezri Konsa,"183cm / 6'0""",77kg / 170lb,CB,Right,76,48,71,76,83,78,27,England,Premier League,Aston Villa
511,Odilon Kossounou,"191cm / 6'3""",82kg / 181lb,CB,Right,80,32,64,67,82,80,24,Côte d'Ivoire,Serie A Enilive,Bergamo Calcio
512,Andrej Kramarić,"177cm / 5'10""",73kg / 161lb,ST,Right,71,83,79,84,33,73,33,Croatia,Bundesliga,TSG Hoffenheim
513,Takefusa Kubo,"173cm / 5'8""",64kg / 141lb,RW,Left,84,76,76,83,40,60,23,Japan,LALIGA EA SPORTS,Real Sociedad
514,Lo'eau LaBonta,"155cm / 5'1""",55kg / 121lb,CM,Right,84,79,78,79,73,78,31,United States,NWSL,KC Current
515,Maya Le Tissier,"171cm / 5'7""",59kg / 130lb,CB,Right,76,58,76,72,82,79,22,England,Barclays WSL,Manchester Utd
516,Alisha Lehmann,"165cm / 5'5""",55kg / 121lb,RW,Right,79,76,74,82,57,70,26,Switzerland,Calcio A Femminile,Juventus
517,Sydney Leroux,"168cm / 5'6""",66kg / 146lb,ST,Right,75,82,77,77,44,79,34,United States,NWSL,Angel City FC
518,Melanie Leupolz,"172cm / 5'8""",62kg / 137lb,CDM,Right,79,75,78,83,79,73,30,Germany,Liga F,Real Madrid CF
519,Ruben Loftus-Cheek,"191cm / 6'3""",88kg / 194lb,CM,Right,81,76,79,82,77,83,29,England,Serie A Enilive,Milano FC
520,Andriy Lunin,"191cm / 6'3""",83kg / 183lb,GK,Right,80,78,77,82,37,80,26,Ukraine,LALIGA EA SPORTS,Real Madrid
521,Dzsenifer Marozsán,"171cm / 5'7""",67kg / 148lb,CM,Right,71,81,85,84,65,72,32,Germany,Arkema PL,OL
522,Iñigo Martínez,"182cm / 6'0""",76kg / 168lb,CB,Left,71,56,67,61,81,80,33,Spain,LALIGA EA SPORTS,FC Barcelona
523,Noussair Mazraoui,"183cm / 6'0""",65kg / 143lb,RB,Right,78,66,77,83,77,71,27,Morocco,Premier League,Man Utd
524,Carmen Menayo,"170cm / 5'7""",62kg / 137lb,CB,Left,78,47,68,72,81,76,26,Spain,Liga F,Atlético de Madrid
525,Brais Méndez,"187cm / 6'2""",76kg / 168lb,CM,Left,71,80,82,81,65,73,28,Spain,LALIGA EA SPORTS,Real Sociedad
526,Alex Meret,"192cm / 6'4""",82kg / 181lb,GK,Left,80,78,72,84,44,83,27,Italy,Serie A Enilive,SSC Napoli
527,Tatumn Milazzo,"170cm / 5'7""",58kg / 128lb,LB,Right,65,42,68,70,83,80,26,United States,NWSL,Chicago Red Stars
528,Arkadiusz Milik,"186cm / 6'1""",80kg / 176lb,ST,Left,56,82,72,77,40,72,31,Poland,Serie A Enilive,Juventus
529,Kaoru Mitoma,"178cm / 5'10""",71kg / 157lb,LM,Right,84,73,75,85,57,65,27,Japan,Premier League,Brighton
530,Fernando Muslera,"190cm / 6'3""",74kg / 163lb,GK,Right,81,81,71,80,35,82,38,Uruguay,Trendyol Süper Lig,Galatasaray
531,Jordan Nobbs,"160cm / 5'3""",52kg / 115lb,CM,Right,75,77,81,83,67,64,32,England,Barclays WSL,Aston Villa
532,Gabi Nunes,"169cm / 5'7""",59kg / 130lb,ST,Right,85,80,74,81,39,83,28,Brazil,Liga F,Levante UD
533,Sjoeke Nüsken,"173cm / 5'8""",58kg / 128lb,CM,Right,69,72,76,78,81,76,24,Germany,Barclays WSL,Chelsea
534,Riccardo Orsolini,"183cm / 6'0""",83kg / 183lb,RM,Left,79,80,78,83,49,67,28,Italy,Serie A Enilive,Bologna
535,Stefan Ortega,"185cm / 6'1""",88kg / 194lb,GK,Right,79,77,86,84,52,81,32,Germany,Premier League,Manchester City
536,Nicolás Otamendi,"183cm / 6'0""",78kg / 172lb,CB,Right,60,57,64,59,83,83,37,Argentina,Liga Portugal,SL Benfica
537,Mayumi Pacheco,"164cm / 5'5""",55kg / 121lb,LB,Left,80,51,75,78,78,77,26,England,Barclays WSL,Aston Villa
538,Isi Palazón,"169cm / 5'7""",71kg / 157lb,RM,Left,84,78,79,81,39,64,30,Spain,LALIGA EA SPORTS,Rayo Vallecano
539,Christen Press,"168cm / 5'6""",58kg / 128lb,ST,Right,79,79,80,82,46,69,36,United States,NWSL,Angel City FC
540,Aaron Ramsdale,"191cm / 6'3""",77kg / 170lb,GK,Right,81,79,85,83,48,78,26,England,Premier League,Southampton
541,Marcus Rashford,"186cm / 6'1""",70kg / 154lb,LM,Right,89,83,76,82,33,64,27,England,Premier League,Man Utd
542,David Raum,"180cm / 5'11""",75kg / 165lb,LB,Left,85,61,81,78,73,78,26,Germany,Bundesliga,RB Leipzig
543,Martina Rosucci,"171cm / 5'7""",61kg / 134lb,CB,Right,73,68,79,80,82,77,32,Italy,Calcio A Femminile,Juventus
544,Amaiur Sarriegi,"168cm / 5'6""",59kg / 130lb,RW,Right,88,77,75,84,46,81,24,Spain,Liga F,Real Sociedad
545,Stefan Savić,"187cm / 6'2""",80kg / 176lb,CB,Right,63,35,57,57,83,79,34,Montenegro,Trendyol Süper Lig,Trabzonspor
546,Xaver Schlager,"174cm / 5'9""",76kg / 168lb,CDM,Left,72,70,74,78,75,79,27,Austria,Bundesliga,RB Leipzig
547,Jerdy Schouten,"185cm / 6'1""",74kg / 163lb,CDM,Right,65,59,72,76,80,72,28,Holland,Eredivisie,PSV
548,Caroline Seger,"176cm / 5'9""",62kg / 137lb,CM,Right,49,75,81,77,81,77,39,Sweden,Sverige Liga,FC Rosengård
549,Linda Sembrant,"175cm / 5'9""",67kg / 148lb,CB,Left,64,33,60,73,82,80,37,Sweden,GPFBL,FC Bayern München
550,Carolin Simon,"174cm / 5'9""",67kg / 148lb,LB,Left,75,57,74,79,80,71,32,Germany,GPFBL,FC Bayern München
551,Ellyes Skhiri,"185cm / 6'1""",74kg / 163lb,CDM,Right,60,73,74,75,80,76,29,Tunisia,Bundesliga,Frankfurt
552,Milan Škriniar,"188cm / 6'2""",80kg / 176lb,CB,Right,57,45,60,65,83,80,30,Slovakia,Ligue 1 McDonald's,Paris SG
553,Dominic Solanke,"187cm / 6'2""",80kg / 176lb,ST,Right,75,81,66,78,29,83,27,England,Premier League,Spurs
554,David Soria,"192cm / 6'4""",85kg / 187lb,GK,Right,81,79,73,82,43,80,31,Spain,LALIGA EA SPORTS,Getafe CF
555,Raheem Sterling,"172cm / 5'8""",69kg / 152lb,LM,Right,85,78,75,85,42,65,30,England,Premier League,Arsenal
556,Andi Sullivan,"168cm / 5'6""",57kg / 126lb,CDM,Right,65,61,78,75,79,79,29,United States,NWSL,Washington Spirit
557,Dominik Szoboszlai,"186cm / 6'1""",74kg / 163lb,CAM,Right,82,80,84,80,59,70,24,Hungary,Premier League,Liverpool
558,Youri Tielemans,"176cm / 5'9""",72kg / 159lb,CM,Right,44,79,83,79,69,70,27,Belgium,Premier League,Aston Villa
559,Sandie Toletti,"169cm / 5'7""",61kg / 134lb,CM,Right,79,76,83,80,72,76,29,France,Liga F,Real Madrid CF
560,Manuel Ugarte,"182cm / 6'0""",77kg / 170lb,CDM,Right,69,65,73,77,78,80,23,Uruguay,Premier League,Man Utd
561,Deniz Undav,"179cm / 5'10""",86kg / 190lb,ST,Right,67,82,75,80,33,78,28,Germany,Bundesliga,VfB Stuttgart
562,Álvaro Valles,"192cm / 6'4""",82kg / 181lb,GK,Right,80,79,79,83,41,81,27,Spain,LALIGA EA SPORTS,UD Las Palmas
563,Lucas Vázquez,"173cm / 5'8""",70kg / 154lb,RB,Right,81,74,80,81,74,69,33,Spain,LALIGA EA SPORTS,Real Madrid
564,Joey Veerman,"185cm / 6'1""",75kg / 165lb,CM,Right,55,72,85,77,66,72,26,Holland,Eredivisie,PSV
565,Évelyne Viens,"173cm / 5'8""",64kg / 141lb,ST,Right,81,80,61,80,25,63,28,Canada,Calcio A Femminile,Roma
566,Vivian,"183cm / 6'0""",83kg / 183lb,CB,Right,79,48,57,69,82,81,25,Spain,LALIGA EA SPORTS,Athletic Club
567,Callum Wilson,"180cm / 5'11""",66kg / 146lb,ST,Right,78,82,67,79,42,75,33,England,Premier League,Newcastle Utd
568,Lotte Wubben-Moy,"178cm / 5'10""",67kg / 148lb,CB,Right,58,42,62,65,83,76,26,England,Barclays WSL,Arsenal
569,Lamine Yamal,"180cm / 5'11""",65kg / 143lb,RW,Left,82,75,76,82,23,48,17,Spain,LALIGA EA SPORTS,FC Barcelona
570,Wilfried Zaha,"180cm / 5'11""",66kg / 146lb,LM,Right,86,78,73,85,37,75,32,Côte d'Ivoire,Ligue 1 McDonald's,OL
571,Bia Zaneratto,"174cm / 5'9""",72kg / 159lb,ST,Left,71,83,73,81,50,82,31,Brazil,NWSL,KC Current
572,Piotr Zieliński,"180cm / 5'11""",75kg / 165lb,CM,Right,78,76,80,83,71,62,30,Poland,Serie A Enilive,Lombardia FC
573,Zubimendi,"181cm / 5'11""",74kg / 163lb,CDM,Right,64,67,75,77,78,71,26,Spain,LALIGA EA SPORTS,Real Sociedad
574,Tere Abelleira,"160cm / 5'3""",59kg / 130lb,CM,Right,74,78,77,81,72,72,25,Spain,Liga F,Real Madrid CF
575,Salem Al Dawsari,"173cm / 5'8""",71kg / 157lb,LM,Right,85,75,72,84,52,80,33,Saudi Arabia,ROSHN Saudi League,Al Hilal
576,Ali Al Musrati,"189cm / 6'2""",83kg / 183lb,CDM,Right,62,66,71,71,78,84,28,Libya,Trendyol Süper Lig,Beşiktaş
577,Jordi Alba,"170cm / 5'7""",68kg / 150lb,LB,Left,82,70,80,81,72,69,35,Spain,MLS,Inter Miami CF
578,Toby Alderweireld,"187cm / 6'2""",91kg / 201lb,CB,Right,50,61,74,66,81,82,36,Belgium,1A Pro League,Royal Antwerp FC
579,Joachim Andersen,"192cm / 6'4""",90kg / 198lb,CB,Right,52,57,72,66,79,84,28,Denmark,Premier League,Fulham
580,Benjamin André,"180cm / 5'11""",76kg / 168lb,CDM,Right,61,64,73,75,78,83,34,France,Ligue 1 McDonald's,LOSC Lille
581,Karen Araya,"164cm / 5'5""",64kg / 141lb,CM,Right,58,79,80,76,66,78,34,Chile,Liga F,Madrid CFF
582,Marko Arnautović,"192cm / 6'4""",83kg / 183lb,ST,Right,70,79,78,79,44,78,35,Austria,Serie A Enilive,Lombardia FC
583,Maximilian Arnold,"184cm / 6'0""",74kg / 163lb,CDM,Left,63,79,79,77,76,76,30,Germany,Bundesliga,VfL Wolfsburg
584,Fredrik Aursnes,"179cm / 5'10""",71kg / 157lb,RB,Right,76,66,77,80,76,81,29,Norway,Liga Portugal,SL Benfica
585,Ane Azkona,"164cm / 5'5""",56kg / 123lb,RM,Right,81,76,78,78,54,72,26,Spain,Liga F,Athletic Club
586,Simon Banza,"189cm / 6'2""",77kg / 170lb,ST,Right,75,80,56,76,36,77,28,Congo DR,Trendyol Süper Lig,Trabzonspor
587,Roberto Firmino,"181cm / 5'11""",76kg / 168lb,CAM,Right,67,75,79,85,58,76,33,Brazil,ROSHN Saudi League,Al Ahli
588,Bradley Barcola,"186cm / 6'1""",70kg / 154lb,LW,Right,88,74,75,81,34,64,22,France,Ligue 1 McDonald's,Paris SG
589,Harvey Barnes,"185cm / 6'1""",72kg / 159lb,LW,Right,85,78,75,81,43,68,27,England,Premier League,Newcastle Utd
590,Christoph Baumgartner,"180cm / 5'11""",73kg / 161lb,CAM,Right,77,74,74,82,47,60,25,Austria,Bundesliga,RB Leipzig
591,Walter Benítez,"191cm / 6'3""",93kg / 205lb,GK,Right,79,78,72,82,37,79,32,Argentina,Eredivisie,PSV
592,Gonçalo Inácio,"185cm / 6'1""",78kg / 172lb,CB,Left,80,37,64,71,81,79,23,Portugal,Liga Portugal,Sporting CP
593,Charlotte Bilbault,"168cm / 5'6""",65kg / 143lb,CDM,Right,54,64,69,64,81,85,34,France,Arkema PL,Montpellier
594,Nicole Billa,"168cm / 5'6""",59kg / 130lb,ST,Right,81,81,68,80,42,81,29,Austria,GPFBL,1. FC Köln
